skills,experience,salary,location,job_interest,sector,education_level
"Plumbing, Site Management, Masonry, Safety Procedures, Carpentry, Blueprint Reading",1,154992,Biskra,Construction,Construction,Technical Diploma
"Assessment, E-Learning, Classroom Management, Mentoring, Curriculum Design, Teaching",2,72467,Skikda,Education,Education,Technical Diploma
"Fleet Management, Routing, Supply Chain, Warehouse Ops, Inventory Management",12,88891,Ouargla,Logistics,Supply Chain,Master's
"Photoshop, Creativity, Graphic Design, UI/UX, Illustrator, 3D Modeling",11,77440,Sidi Bel Abbès,Art & Design,Creative,High School
"Python, R, Pandas, Machine Learning",1,70436,Blida,Data Science,Information Technology,Master's
"E-Learning, Assessment, Classroom Management, Mentoring",2,103060,Tipaza,Education,Education,Bachelor's
"Curriculum Design, Classroom Management, Mentoring, E-Learning, Assessment",1,75471,Batna,Education,Education,Bachelor's
"Legal Research, Case Management, Regulatory Compliance",8,44480,Setif,Legal,Legal,No Formal Education
"Illustrator, Creativity, UI/UX",11,162406,Setif,Art & Design,Creative,Ingénieur
"Machine Learning, Pandas, Statistics, SQL",7,112284,Skikda,Data Science,Information Technology,No Formal Education
"Django, SQL, C++, Java",1,58240,Relizane,Software Engineering,Information Technology,Master's
"Risk Management, Excel, Investment, Financial Analysis",2,100615,Tlemcen,Finance,Business,Technical Diploma
"CSS, Node.js, Responsive Design",8,164764,Algiers,Web Development,Information Technology,Master's
"Accounting, Financial Analysis, Investment, Risk Management, Budgeting, Auditing",2,85267,Constantine,Finance,Business,Technical Diploma
"Litigation, Regulatory Compliance, Contracts, Case Management, Negotiation, Legal Research",6,153368,Tipaza,Legal,Legal,Bachelor's
"Python, TensorFlow, Pandas, Statistics",4,124601,Bordj Bou Arreridj,Data Science,Information Technology,No Formal Education
"Risk Management, Excel, Budgeting, Auditing, Accounting, Financial Analysis",15,137296,Mostaganem,Finance,Business,No Formal Education
"SIEM, Penetration Testing, Network Security, Firewalls, Forensics",11,151493,Tlemcen,Cybersecurity,Information Technology,Master's
"AutoCAD, SolidWorks, Project Management, Design, MATLAB, Blueprint Reading",6,68057,Tizi Ouzou,Engineering,Engineering,Doctorate
"Python, TensorFlow, Pandas",1,79933,Biskra,Data Science,Information Technology,High School
"Budgeting, Financial Analysis, Accounting, Excel, Risk Management, Investment",3,122250,Algiers,Finance,Business,Master's
"Negotiation, Customer Service, CRM, Cold Calling",1,82487,Ghardaia,Sales,Business,No Formal Education
"Pandas, Machine Learning, Statistics, Data Visualization, SQL, TensorFlow",2,106113,Bejaia,Data Science,Information Technology,High School
"Site Management, Blueprint Reading, Masonry, Carpentry, Plumbing",7,116894,Oran,Construction,Construction,Technical Diploma
"Project Management, SolidWorks, Design, AutoCAD, Blueprint Reading, MATLAB",3,65995,Bejaia,Engineering,Engineering,Master's
"Budgeting, Risk Management, Investment, Excel",8,115988,Tipaza,Finance,Business,Master's
"Excel, Investment, Budgeting, Risk Management, Accounting",2,115848,Bejaia,Finance,Business,Master's
"Warehouse Ops, Fleet Management, Routing, Supply Chain, Inventory Management",4,63661,Relizane,Logistics,Supply Chain,High School
"Litigation, Regulatory Compliance, Legal Research, Contracts, Negotiation",1,132755,Mostaganem,Legal,Legal,Ingénieur
"Cold Calling, Negotiation, Lead Generation, Customer Service, Sales Forecasting",3,92363,Bejaia,Sales,Business,Bachelor's
"Illustrator, 3D Modeling, Graphic Design",3,59320,M'Sila,Art & Design,Creative,High School
"Phlebotomy, Medical Terminology, Anatomy, EMR, Patient Care, CPR",2,81370,Batna,Healthcare,Health,Master's
"Litigation, Legal Research, Case Management, Contracts, Negotiation, Regulatory Compliance",1,80053,Mostaganem,Legal,Legal,Ingénieur
"React, JavaScript, HTML, CSS",3,73608,Chlef,Web Development,Information Technology,High School
"Medical Terminology, Phlebotomy, CPR",4,176015,Bejaia,Healthcare,Health,No Formal Education
"Negotiation, Lead Generation, CRM, Sales Forecasting, Customer Service",4,117545,Oran,Sales,Business,Bachelor's
"C++, Git, SQL, Python, REST",1,187063,Tlemcen,Software Engineering,Information Technology,Ingénieur
"Negotiation, Litigation, Contracts, Regulatory Compliance",2,80305,Biskra,Legal,Legal,High School
"Git, Java, Django",8,82883,Setif,Software Engineering,Information Technology,Bachelor's
"E-Learning, Assessment, Curriculum Design",3,171900,Oran,Education,Education,No Formal Education
"Curriculum Design, Mentoring, Assessment",3,90442,Bordj Bou Arreridj,Education,Education,Ingénieur
"Customer Service, Reservation Systems, Front Desk",14,99838,Skikda,Hospitality,Tourism & Hospitality,Master's
"Phlebotomy, Anatomy, CPR, Patient Care, Medical Terminology",1,56169,Relizane,Healthcare,Health,Technical Diploma
"Network Security, SIEM, Firewalls, Penetration Testing",8,67351,Algiers,Cybersecurity,Information Technology,No Formal Education
"Fleet Management, Inventory Management, Warehouse Ops, Supply Chain, Routing",2,83650,Algiers,Logistics,Supply Chain,Master's
"Assessment, Curriculum Design, Teaching",9,105077,Chlef,Education,Education,Doctorate
"Pest Control, Tractor Operation, Soil Testing, Irrigation",1,52872,Sidi Bel Abbès,Agriculture,Agriculture,Doctorate
"Front Desk, Customer Service, Event Planning, Food Safety",2,166000,Mostaganem,Hospitality,Tourism & Hospitality,Ingénieur
"Event Planning, Front Desk, Customer Service, Food Safety",1,69422,Chlef,Hospitality,Tourism & Hospitality,Technical Diploma
"Carpentry, Safety Procedures, Plumbing, Masonry, Blueprint Reading, Site Management",1,61968,Biskra,Construction,Construction,High School
"Soil Testing, Agro-tech, Irrigation",6,160772,Relizane,Agriculture,Agriculture,Bachelor's
"SQL, Python, TensorFlow, Statistics, R",15,45422,M'Sila,Data Science,Information Technology,No Formal Education
"Assessment, Classroom Management, E-Learning, Mentoring, Teaching",3,102330,Relizane,Education,Education,Doctorate
"Mentoring, Classroom Management, Teaching, Curriculum Design",7,92012,Sidi Bel Abbès,Education,Education,Master's
"Medical Terminology, CPR, Phlebotomy, Anatomy",9,83060,Ghardaia,Healthcare,Health,High School
"3D Modeling, Illustrator, Creativity, Graphic Design, Photoshop",13,45421,Oran,Art & Design,Creative,Bachelor's
"Analytics, Content Creation, Social Media, Branding, Google Ads, SEO",12,172355,Skikda,Marketing,Business,High School
"Safety Procedures, Site Management, Plumbing",4,92894,Biskra,Construction,Construction,No Formal Education
"Regulatory Compliance, Litigation, Case Management, Contracts",12,65208,Biskra,Legal,Legal,Doctorate
"React, HTML, CSS, JavaScript, Node.js",4,60494,Ouargla,Web Development,Information Technology,No Formal Education
"Forensics, Firewalls, Ethical Hacking, Network Security",6,59110,M'Sila,Cybersecurity,Information Technology,Ingénieur
"Excel, Auditing, Investment",4,84505,Tipaza,Finance,Business,No Formal Education
"EMR, Patient Care, Anatomy",5,122417,Algiers,Healthcare,Health,Technical Diploma
"Classroom Management, Mentoring, E-Learning",2,121388,Oran,Education,Education,No Formal Education
"Networking, Linux, Scripting, Security",7,66271,Skikda,System Administration,Information Technology,Ingénieur
"Investment, Auditing, Accounting",1,129044,Annaba,Finance,Business,Ingénieur
"Irrigation, Pest Control, Soil Testing, Crop Management, Tractor Operation",2,45895,Constantine,Agriculture,Agriculture,Bachelor's
"Customer Service, Sales Forecasting, CRM, Lead Generation, Negotiation",6,69847,Biskra,Sales,Business,Ingénieur
"SQL, C++, Spring, Django",10,80754,Chlef,Software Engineering,Information Technology,No Formal Education
"Reservation Systems, Customer Service, Front Desk, Food Safety",1,86897,Skikda,Hospitality,Tourism & Hospitality,Doctorate
"Lead Generation, Cold Calling, Negotiation, CRM",2,124380,Tipaza,Sales,Business,Master's
"Ethical Hacking, Firewalls, Forensics, Penetration Testing",13,125621,Setif,Cybersecurity,Information Technology,Doctorate
"Photoshop, UI/UX, Creativity, Illustrator, Graphic Design, 3D Modeling",1,120684,Oran,Art & Design,Creative,Ingénieur
"Sales Forecasting, CRM, Negotiation, Cold Calling",12,109011,Batna,Sales,Business,High School
"Mentoring, Assessment, E-Learning, Curriculum Design",1,74391,Bejaia,Education,Education,No Formal Education
"Data Visualization, Pandas, TensorFlow, Python, SQL, R",14,110755,Mostaganem,Data Science,Information Technology,Master's
"Soil Testing, Tractor Operation, Irrigation",2,122251,Ouargla,Agriculture,Agriculture,Doctorate
"Patient Care, Anatomy, Medical Terminology, Phlebotomy, CPR",2,76896,Annaba,Healthcare,Health,Ingénieur
"Google Ads, Social Media, Branding",9,183291,Bordj Bou Arreridj,Marketing,Business,Bachelor's
"Negotiation, Contracts, Regulatory Compliance",3,121263,Constantine,Legal,Legal,High School
"Food Safety, Front Desk, Event Planning, Customer Service",2,123397,Oran,Hospitality,Tourism & Hospitality,Bachelor's
"Site Management, Blueprint Reading, Carpentry, Safety Procedures",9,58249,Ouargla,Construction,Construction,Bachelor's
"SolidWorks, Blueprint Reading, Design",1,82887,Chlef,Engineering,Engineering,Master's
"Django, REST, Java, Spring, C++, Git",12,70400,Biskra,Software Engineering,Information Technology,High School
"Customer Service, CRM, Negotiation, Cold Calling, Lead Generation",4,56390,Biskra,Sales,Business,High School
"Blueprint Reading, Plumbing, Masonry",5,126354,Ouargla,Construction,Construction,No Formal Education
"Curriculum Design, Assessment, Mentoring, Classroom Management, Teaching, E-Learning",2,61873,Skikda,Education,Education,Bachelor's
"Financial Analysis, Investment, Excel, Auditing, Risk Management, Accounting",1,160296,Oran,Finance,Business,Technical Diploma
"3D Modeling, Creativity, Illustrator, Photoshop, Graphic Design, UI/UX",12,87710,Bordj Bou Arreridj,Art & Design,Creative,Master's
"Fleet Management, Supply Chain, Warehouse Ops",8,137149,Tizi Ouzou,Logistics,Supply Chain,Master's
"Negotiation, Litigation, Regulatory Compliance",1,141438,Blida,Legal,Legal,High School
"WordPress, HTML, Responsive Design, Node.js, JavaScript, React",1,144846,Tlemcen,Web Development,Information Technology,Master's
"CPR, Phlebotomy, Patient Care, Anatomy",2,163023,Ouargla,Healthcare,Health,High School
"Git, Django, C++, Java",9,45717,Bejaia,Software Engineering,Information Technology,Ingénieur
"Crop Management, Agro-tech, Irrigation, Soil Testing, Pest Control",3,118127,Bejaia,Agriculture,Agriculture,No Formal Education
"Networking, Linux, Virtualization",3,89304,Chlef,System Administration,Information Technology,No Formal Education
"Carpentry, Site Management, Plumbing, Masonry, Safety Procedures, Blueprint Reading",4,110658,Bejaia,Construction,Construction,High School
"Machine Learning, Pandas, TensorFlow, SQL, R, Statistics",5,128686,M'Sila,Data Science,Information Technology,Bachelor's
"Inventory Management, Routing, Fleet Management, Warehouse Ops",2,61876,Batna,Logistics,Supply Chain,Ingénieur
"Agro-tech, Crop Management, Tractor Operation, Pest Control",7,173147,Tizi Ouzou,Agriculture,Agriculture,Ingénieur
"Blueprint Reading, Plumbing, Carpentry",1,156238,Algiers,Construction,Construction,Doctorate
"Patient Care, Anatomy, EMR",1,53277,Algiers,Healthcare,Health,Ingénieur
"Customer Service, Reservation Systems, Event Planning",7,63652,Bejaia,Hospitality,Tourism & Hospitality,Technical Diploma
"Warehouse Ops, Inventory Management, Fleet Management",11,89499,Tipaza,Logistics,Supply Chain,No Formal Education
"Plumbing, Safety Procedures, Blueprint Reading, Masonry, Site Management, Carpentry",1,107862,Relizane,Construction,Construction,Technical Diploma
"E-Learning, Curriculum Design, Classroom Management, Mentoring",2,60154,Blida,Education,Education,No Formal Education
"Python, TensorFlow, Statistics, Machine Learning, R, SQL",2,70733,Relizane,Data Science,Information Technology,Bachelor's
"Blueprint Reading, Plumbing, Site Management, Safety Procedures",15,75649,Relizane,Construction,Construction,No Formal Education
"Medical Terminology, Anatomy, EMR, Patient Care, Phlebotomy",1,90101,Relizane,Healthcare,Health,Bachelor's
"Ethical Hacking, Penetration Testing, SIEM, Forensics, Network Security",5,110310,Tlemcen,Cybersecurity,Information Technology,Doctorate
"SolidWorks, Project Management, MATLAB, AutoCAD",12,53016,Bejaia,Engineering,Engineering,Technical Diploma
"REST, Python, C++, SQL",7,81703,Oran,Software Engineering,Information Technology,No Formal Education
"Pest Control, Agro-tech, Crop Management",4,92643,Tizi Ouzou,Agriculture,Agriculture,Ingénieur
"Plumbing, Site Management, Safety Procedures",8,87293,Batna,Construction,Construction,Technical Diploma
"Carpentry, Safety Procedures, Plumbing, Blueprint Reading, Site Management, Masonry",10,99208,Constantine,Construction,Construction,No Formal Education
"Food Safety, Event Planning, Reservation Systems, Customer Service",3,93616,Ouargla,Hospitality,Tourism & Hospitality,Bachelor's
"Blueprint Reading, Design, MATLAB",10,73733,Algiers,Engineering,Engineering,Doctorate
"Machine Learning, R, Statistics, TensorFlow, SQL, Python",12,178265,Relizane,Data Science,Information Technology,Doctorate
"Python, TensorFlow, Pandas, Machine Learning, SQL",14,115045,Ouargla,Data Science,Information Technology,Bachelor's
"Customer Service, CRM, Lead Generation, Negotiation, Cold Calling, Sales Forecasting",10,140975,Oran,Sales,Business,No Formal Education
"Firewalls, Penetration Testing, Forensics, Network Security, SIEM",2,158731,Relizane,Cybersecurity,Information Technology,Ingénieur
"Site Management, Blueprint Reading, Masonry",5,64341,M'Sila,Construction,Construction,Technical Diploma
"Masonry, Plumbing, Carpentry, Safety Procedures, Blueprint Reading, Site Management",6,153770,Setif,Construction,Construction,Technical Diploma
"Node.js, CSS, Responsive Design, HTML, React, JavaScript",1,139540,Constantine,Web Development,Information Technology,Technical Diploma
"Agro-tech, Tractor Operation, Pest Control, Crop Management",2,51525,Bordj Bou Arreridj,Agriculture,Agriculture,Bachelor's
"Machine Learning, Pandas, SQL, TensorFlow, R",1,99775,Biskra,Data Science,Information Technology,Technical Diploma
"Windows Server, Networking, Security, Virtualization",9,105449,M'Sila,System Administration,Information Technology,Master's
"3D Modeling, Graphic Design, Illustrator, UI/UX",2,102850,Biskra,Art & Design,Creative,Doctorate
"SolidWorks, Project Management, MATLAB, AutoCAD, Blueprint Reading, Design",11,126819,Bejaia,Engineering,Engineering,Bachelor's
"AutoCAD, MATLAB, Project Management",1,176275,Ghardaia,Engineering,Engineering,Technical Diploma
"Anatomy, EMR, CPR, Phlebotomy, Medical Terminology, Patient Care",10,59634,Ouargla,Healthcare,Health,Ingénieur
"HTML, JavaScript, Responsive Design, Node.js",2,40171,Tipaza,Web Development,Information Technology,Ingénieur
"Network Security, Ethical Hacking, Forensics, Penetration Testing",7,97182,Chlef,Cybersecurity,Information Technology,Doctorate
"Python, R, TensorFlow, Data Visualization, Statistics",1,110412,Blida,Data Science,Information Technology,No Formal Education
"Design, MATLAB, Blueprint Reading",3,131786,Batna,Engineering,Engineering,Technical Diploma
"Responsive Design, Node.js, React, CSS",12,113618,Bordj Bou Arreridj,Web Development,Information Technology,Bachelor's
"Scripting, Security, Linux",1,88818,Bejaia,System Administration,Information Technology,No Formal Education
"MATLAB, AutoCAD, Design, Project Management",11,56347,Tipaza,Engineering,Engineering,Master's
