job title,department,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,benefits,technical_skills,experience_min_req,experience_max_req,edu_value,language_proficiency,education_requirement_std,salary
Team Leader,General Management,2025-03-31,2025-05-12,2025-06-11,Telecommunications,Tlemcen,Licence,15,Stage,7,"Épargne entreprise, Télétravail partiel, Assurance maladie","Microsoft Office, Report Writing, Team Leadership, French Bilingual, Project Management",5,8,15,"Arabic, French",License,53500.0
Directional Driller,Drilling Operations,2025-04-17,2025-05-07,2025-06-06,Energy & Petroleum,Béjaïa,Master,17,Freelance,8,"Tickets restaurant, Formation continue, Épargne entreprise","French Bilingual, Microsoft Office, Project Management, Report Writing, Team Leadership",3,10,17,"Arabic, French",Master,107100.0
Department Director,General Management,2025-04-07,2025-05-12,2025-06-11,E-Commerce,Mostaganem,Doctorat,20,CDD,3,"Crèche d'entreprise, Épargne entreprise, Tickets restaurant","Project Management, French Bilingual, Microsoft Office, Team Leadership, Report Writing",1,11,20,"Arabic, French, English",Doctorat,68800.0
Sustainability Manager,Sustainable Farming,2025-04-20,2025-06-02,2025-07-02,Agriculture,Béchar,Bac,12,Stage,14,"Assurance maladie, Formation continue, Tickets restaurant","Organic Certification, Water Conservation, Agroecology, Precision Agriculture, Permaculture Design, Soil Health Management",3,12,12,"Arabic, French",Baccalaureate,46400.0
Irrigation Engineer,Irrigation Technology,2025-04-11,2025-05-25,2025-06-24,Agriculture,El Tarf,Ingénieur d'État,19,Alternance,15,"Tickets restaurant, Voiture de fonction, Prime de performance","Report Writing, Microsoft Office, Project Management, Team Leadership, French Bilingual",0,7,19,"Arabic, French",Ingénieur d'État,39400.0
General Director,General Management,2025-04-16,2025-05-17,2025-06-16,Construction,El Oued,Bac,12,CDI,12,"Formation continue, Prime de performance, Tickets restaurant","Microsoft Office, Report Writing, Team Leadership, Project Management, French Bilingual",3,15,12,"Arabic, French",Baccalaureate,58800.0
Security Consultant,Cybersecurity,2025-04-14,2025-06-09,2025-07-09,Information Technology,Biskra,Master,17,CDD,2,"Tickets restaurant, Assurance maladie, Crèche d'entreprise","Cryptography, Firewall Configuration, Incident Response, Network Security, SOC Operations, Ethical Hacking, SIEM Tools, GDPR Compliance",4,15,17,"Arabic, French",Master,69800.0
Team Leader,General Management,2025-04-17,2025-06-03,2025-07-03,Mining,Annaba,Master,17,Alternance,4,"Tickets restaurant, Assurance maladie, Crèche d'entreprise","Project Management, French Bilingual, Microsoft Office, Report Writing, Team Leadership",1,10,17,"Arabic, French",Master,60000.0
Supply Chain Manager,Operations,2025-03-29,2025-05-15,2025-06-14,Telecommunications,Béjaïa,Bac,12,CDI,15,"Épargne entreprise, Télétravail partiel, Assurance maladie","Team Leadership, Report Writing, French Bilingual, Project Management, Microsoft Office",0,7,12,"Arabic, French",Baccalaureate,39400.0
Administrative Manager,General Management,2025-04-05,2025-05-05,2025-06-04,E-Commerce,Aïn Témouchent,Master,17,Alternance,14,"Tickets restaurant, Télétravail partiel, Épargne entreprise","Team Leadership, Project Management, Report Writing, French Bilingual, Microsoft Office",4,9,17,"Arabic, French, English",Master,98200.0
Academic Advisor,Higher Education,2025-03-28,2025-04-13,2025-05-13,Education,Laghouat,Master,17,Freelance,6,"Assurance maladie, Télétravail partiel, Tickets restaurant","Team Leadership, French Bilingual, Microsoft Office, Project Management, Report Writing",5,11,17,"Arabic, French",Master,56700.0
Food Processing Manager,Food Processing,2025-04-18,2025-06-08,2025-07-08,Agriculture,Constantine,Licence,15,CDD,7,"Voiture de fonction, Télétravail partiel, Formation continue","Report Writing, Microsoft Office, French Bilingual, Project Management, Team Leadership",3,12,15,"Arabic, French",License,55600.0
Facilities Manager,Operations,2025-03-28,2025-05-10,2025-06-09,Retail,Tlemcen,Licence,15,CDD,6,"Crèche d'entreprise, Voiture de fonction, Assurance maladie","Team Leadership, Microsoft Office, Report Writing, Project Management, French Bilingual",2,4,15,"Arabic, French",License,46200.0
Facilities Manager,Operations,2025-04-18,2025-05-02,2025-06-01,Renewable Energy,El Tarf,Licence,15,Freelance,5,"Crèche d'entreprise, Formation continue, Tickets restaurant","Team Leadership, Report Writing, Microsoft Office, Project Management, French Bilingual",0,7,15,"Arabic, French",License,47200.0
Administrative Manager,General Management,2025-04-15,2025-06-12,2025-07-12,Construction,Béchar,Ingénieur d'État,19,CDI,13,"Assurance maladie, Prime de performance, Épargne entreprise","Project Management, French Bilingual, Report Writing, Microsoft Office, Team Leadership",1,4,19,"Arabic, French",Ingénieur d'État,45200.0
Operations Manager,Operations,2025-03-26,2025-04-16,2025-05-16,Retail,Ouargla,Doctorat,20,Freelance,9,"Crèche d'entreprise, Prime de performance, Assurance maladie","Report Writing, French Bilingual, Team Leadership, Microsoft Office, Project Management",4,10,20,"Arabic, French",Doctorat,45500.0
Operations Manager,Operations,2025-04-15,2025-05-12,2025-06-11,Media & Entertainment,Béchar,Ingénieur d'État,19,Stage,8,"Tickets restaurant, Crèche d'entreprise, Épargne entreprise","French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",0,4,19,"Arabic, French, English",Ingénieur d'État,47200.0
Compliance Officer,Export Operations,2025-04-01,2025-05-01,2025-05-31,Agriculture,Constantine,Master,17,Freelance,11,"Prime de performance, Épargne entreprise, Crèche d'entreprise","French Bilingual, Project Management, Team Leadership, Report Writing, Microsoft Office",3,8,17,"Arabic, French",Master,60000.0
Wellsite Manager,Drilling Operations,2025-04-12,2025-05-02,2025-06-01,Energy & Petroleum,Djanet,Bac,12,Stage,5,"Voiture de fonction, Épargne entreprise, Assurance maladie","Microsoft Office, French Bilingual, Report Writing, Team Leadership, Project Management",4,11,12,"Arabic, French",Baccalaureate,79500.0
Department Director,General Management,2025-04-22,2025-06-12,2025-07-12,Construction,Skikda,Master,17,Stage,5,"Crèche d'entreprise, Assurance maladie, Télétravail partiel","Microsoft Office, Team Leadership, French Bilingual, Project Management, Report Writing",4,8,17,"Arabic, French",Master,73500.0
Facilities Manager,Operations,2025-03-27,2025-04-09,2025-05-09,Construction,Tamanrasset,Master,17,CDI,2,"Épargne entreprise, Formation continue, Voiture de fonction","Microsoft Office, Team Leadership, Project Management, Report Writing, French Bilingual",1,9,17,"Arabic, French",Master,70600.0
Project Manager,General Management,2025-04-10,2025-04-19,2025-05-19,Public Sector,Blida,Bac,12,Freelance,3,"Tickets restaurant, Télétravail partiel, Prime de performance","Report Writing, Project Management, Microsoft Office, Team Leadership, French Bilingual",4,4,12,"Arabic, French",Baccalaureate,40200.0
Logistics Coordinator,Operations,2025-03-27,2025-05-14,2025-06-13,E-Commerce,Constantine,Bac,12,Freelance,11,"Crèche d'entreprise, Épargne entreprise, Tickets restaurant","Team Leadership, Project Management, French Bilingual, Report Writing, Microsoft Office",5,9,12,"Arabic, French, English",Baccalaureate,71500.0
Supply Chain Manager,Operations,2025-04-01,2025-04-21,2025-05-21,E-Commerce,Adrar,Ingénieur d'État,19,CDI,1,"Assurance maladie, Tickets restaurant, Crèche d'entreprise","Project Management, Microsoft Office, Report Writing, French Bilingual, Team Leadership",0,10,19,"Arabic, French, English",Ingénieur d'État,66000.0
Logistics Coordinator,Operations,2025-04-08,2025-05-30,2025-06-29,Renewable Energy,Tizi Ouzou,Master,17,Freelance,2,"Télétravail partiel, Voiture de fonction, Assurance maladie","French Bilingual, Report Writing, Project Management, Team Leadership, Microsoft Office",2,13,17,"Arabic, French",Master,64900.0
Operations Manager,Operations,2025-04-23,2025-06-04,2025-07-04,Fisheries,Constantine,Ingénieur d'État,19,CDD,12,"Assurance maladie, Formation continue, Voiture de fonction","Team Leadership, Microsoft Office, Report Writing, Project Management, French Bilingual",1,5,19,"Arabic, French",Ingénieur d'État,38500.0
Production Supervisor,Operations,2025-04-10,2025-04-24,2025-05-24,E-Commerce,Tébessa,Bac,12,CDI,8,"Télétravail partiel, Voiture de fonction, Épargne entreprise","Project Management, Microsoft Office, Team Leadership, Report Writing, French Bilingual",0,10,12,"Arabic, French, English",Baccalaureate,66000.0
Supply Chain Manager,Operations,2025-04-04,2025-05-01,2025-05-31,Pharmaceuticals,Annaba,Doctorat,20,CDD,11,"Prime de performance, Voiture de fonction, Épargne entreprise","French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",5,12,20,"Arabic, French",Doctorat,48100.0
Administrative Manager,General Management,2025-04-08,2025-05-15,2025-06-14,Tourism & Hospitality,El Tarf,Master,17,Stage,15,"Voiture de fonction, Crèche d'entreprise, Épargne entreprise","Report Writing, Team Leadership, French Bilingual, Microsoft Office, Project Management",2,6,17,"Arabic, French",Master,56300.0
Operations Manager,General Management,2025-04-07,2025-04-15,2025-05-15,Aerospace & Defense,M'sila,Bac,12,CDI,5,"Télétravail partiel, Voiture de fonction, Épargne entreprise","Microsoft Office, French Bilingual, Project Management, Team Leadership, Report Writing",1,3,12,"Arabic, French",Baccalaureate,36800.0
Project Manager,General Management,2025-04-05,2025-04-14,2025-05-14,Transport & Logistics,Chlef,Doctorat,20,CDI,8,"Épargne entreprise, Tickets restaurant, Télétravail partiel","Project Management, Report Writing, French Bilingual, Microsoft Office, Team Leadership",5,9,20,"Arabic, French",Doctorat,45500.0
HSE Manager,"HSE (Health, Safety, Environment)",2025-04-04,2025-05-24,2025-06-23,Energy & Petroleum,Constantine,Licence,15,Stage,1,"Tickets restaurant, Télétravail partiel, Assurance maladie","Microsoft Office, Team Leadership, Report Writing, Project Management, French Bilingual",0,15,15,"Arabic, French",License,95400.0
Operations Manager,Operations,2025-04-09,2025-06-05,2025-07-05,Manufacturing,In Salah,Master,17,Alternance,11,"Tickets restaurant, Formation continue, Télétravail partiel","Report Writing, Project Management, Microsoft Office, French Bilingual, Team Leadership",5,12,17,"Arabic, French",Master,73200.0
Safety Inspector,"HSE (Health, Safety, Environment)",2025-04-08,2025-05-06,2025-06-05,Energy & Petroleum,Béchar,Master,17,CDD,3,"Tickets restaurant, Crèche d'entreprise, Épargne entreprise","Report Writing, Team Leadership, French Bilingual, Microsoft Office, Project Management",0,3,17,"Arabic, French",Master,86100.0
Bank Branch Manager,Retail Banking,2025-03-28,2025-04-16,2025-05-16,Banking & Finance,Timimoun,Bac,12,CDI,6,"Prime de performance, Télétravail partiel, Épargne entreprise","Project Management, Report Writing, Microsoft Office, French Bilingual, Team Leadership",0,10,12,"Arabic, French",Baccalaureate,42000.0
Logistics Coordinator,Operations,2025-04-17,2025-05-03,2025-06-02,Aerospace & Defense,Tamanrasset,Ingénieur d'État,19,Stage,4,"Crèche d'entreprise, Télétravail partiel, Prime de performance","Project Management, Report Writing, Microsoft Office, Team Leadership, French Bilingual",4,15,19,"Arabic, French",Ingénieur d'État,49900.0
Supply Chain Manager,Operations,2025-04-04,2025-04-21,2025-05-21,E-Commerce,Timimoun,Master,17,Alternance,9,"Télétravail partiel, Crèche d'entreprise, Épargne entreprise","Microsoft Office, Report Writing, Project Management, French Bilingual, Team Leadership",3,8,17,"Arabic, French, English",Master,94300.0
Department Director,General Management,2025-04-06,2025-05-23,2025-06-22,E-Commerce,El Oued,Bac,12,Alternance,9,"Prime de performance, Tickets restaurant, Assurance maladie","Team Leadership, Report Writing, Microsoft Office, French Bilingual, Project Management",4,4,12,"Arabic, French, English",Baccalaureate,63200.0
Credit Analyst,Retail Banking,2025-04-08,2025-05-04,2025-06-03,Banking & Finance,Djanet,Doctorat,20,Stage,3,"Prime de performance, Assurance maladie, Crèche d'entreprise","Team Leadership, Microsoft Office, Report Writing, French Bilingual, Project Management",3,4,20,"Arabic, French",Doctorat,39400.0
Department Director,General Management,2025-04-03,2025-05-17,2025-06-16,Pharmaceuticals,Adrar,Doctorat,20,Stage,5,"Télétravail partiel, Formation continue, Prime de performance","Microsoft Office, Report Writing, Project Management, French Bilingual, Team Leadership",2,5,20,"Arabic, French",Doctorat,39400.0
Operations Manager,General Management,2025-04-15,2025-05-10,2025-06-09,Pharmaceuticals,Mostaganem,Bac,12,Freelance,9,"Voiture de fonction, Prime de performance, Crèche d'entreprise","French Bilingual, Report Writing, Team Leadership, Microsoft Office, Project Management",1,9,12,"Arabic, French",Baccalaureate,42000.0
Supply Chain Manager,Operations,2025-04-02,2025-04-16,2025-05-16,Tourism & Hospitality,Algiers,Licence,15,Alternance,12,"Épargne entreprise, Formation continue, Assurance maladie","Project Management, Team Leadership, Microsoft Office, Report Writing, French Bilingual",0,13,15,"Arabic, French",License,53500.0
Research Director,Higher Education,2025-04-20,2025-04-30,2025-05-30,Education,Tébessa,Ingénieur d'État,19,Freelance,5,"Prime de performance, Télétravail partiel, Voiture de fonction","Project Management, Team Leadership, Report Writing, French Bilingual, Microsoft Office",4,12,19,"Arabic, French",Ingénieur d'État,40500.0
Facilities Manager,Operations,2025-04-05,2025-04-27,2025-05-27,Media & Entertainment,Naama,Master,17,Stage,13,"Formation continue, Prime de performance, Télétravail partiel","Microsoft Office, French Bilingual, Team Leadership, Project Management, Report Writing",2,7,17,"Arabic, French, English",Master,74000.0
Team Leader,General Management,2025-04-12,2025-06-10,2025-07-10,Mining,Mostaganem,Ingénieur d'État,19,Freelance,2,"Prime de performance, Télétravail partiel, Crèche d'entreprise","Project Management, Team Leadership, French Bilingual, Report Writing, Microsoft Office",1,8,19,"Arabic, French",Ingénieur d'État,41100.0
Project Manager,General Management,2025-04-03,2025-04-21,2025-05-21,Manufacturing,M'sila,Master,17,CDI,4,"Épargne entreprise, Assurance maladie, Crèche d'entreprise","Microsoft Office, French Bilingual, Project Management, Team Leadership, Report Writing",2,3,17,"Arabic, French",Master,57200.0
Operations Manager,General Management,2025-04-19,2025-04-29,2025-05-29,Pharmaceuticals,El Tarf,Master,17,Alternance,13,"Voiture de fonction, Crèche d'entreprise, Assurance maladie","Report Writing, French Bilingual, Project Management, Microsoft Office, Team Leadership",5,4,17,"Arabic, French",Master,57600.0
Administrative Manager,General Management,2025-04-19,2025-05-22,2025-06-21,Pharmaceuticals,Tiaret,Doctorat,20,Stage,11,"Voiture de fonction, Assurance maladie, Épargne entreprise","Report Writing, Team Leadership, Microsoft Office, French Bilingual, Project Management",4,15,20,"Arabic, French",Doctorat,49900.0
