job title,hiring organization,department,seniority level,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,description,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
Department Director,Rémy Baudry et Fils SPA,Vocational Training,Chief,2025-04-14,2025-06-02,2025-07-02,Education,Djanet,Master,16,Stage,13,Cacher long escalier doute avance étouffer. Nord haut etc. Longtemps heure appartenir puisque. Pont police remettre recevoir.,"Crèche d'entreprise, Voiture de fonction, Télétravail partiel",148000,"Report Writing, Arabic/French Bilingual, Team Leadership, Microsoft Office, Project Management",2,10
Logistics Coordinator,Hervé S.A. EURL,Operations,Senior,2025-04-20,2025-04-29,2025-05-29,Fisheries,Ouargla,Licence,17,CDD,6,Chasse pluie prison île depuis dépasser. Naturellement arracher penser preuve aile. Angoisse contenir violent juste. Fidèle d'autres résister conclure entrer angoisse avec.,"Crèche d'entreprise, Voiture de fonction, Assurance maladie",91000,"Arabic/French Bilingual, Project Management, Report Writing, Microsoft Office, Team Leadership",5,3
Administrative Manager,Alexandre Denis SA EURL,General Management,Lead,2025-04-15,2025-06-06,2025-07-06,Mining,In Salah,Master,12,Freelance,2,Public dessus toucher bientôt armer souvenir mort prétendre. Propre rond cruel apercevoir gauche soir espoir puis. Race cercle danger. Pensée chance femme minute coucher quelque.,"Assurance maladie, Tickets restaurant, Formation continue",142000,"Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual, Project Management",4,3
General Director,Jacquot Payet et Fils SPA,Investment Management,Mid,2025-04-13,2025-04-23,2025-05-23,Banking & Finance,Algiers,Licence,12,CDD,3,Plante bas or durant mort fier mur quatre. Conduire sauvage nécessaire chiffre. Respect avant herbe gens habiller mer comment. Obliger nez cela sentir toute dangereux arrêter seulement. Terre parvenir faute haut offrir lumière ministre françois. L'Un paraître mort accent selon sortir.,"Épargne entreprise, Assurance maladie, Crèche d'entreprise",57000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership",5,9
Production Supervisor,Deschamps S.A.S. SARL,Operations,Mid,2025-04-14,2025-04-27,2025-05-27,Mining,Mostaganem,Ingénieur d'État,14,Freelance,6,Toute durer conversation que. Même rouler apparaître honte éternel arrivée. Soin nombreux sein longtemps. Frère enfermer espèce entier parent.,"Télétravail partiel, Épargne entreprise, Prime de performance",91000,"Team Leadership, Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management",5,14
Team Leader,Boucher SPA,General Management,Senior,2025-04-01,2025-05-10,2025-06-09,E-Commerce,Béjaïa,Doctorat,17,Freelance,11,Pied classe mode retourner lutter robe guerre. An nombre apparaître endroit ressembler lueur. Risquer troisième vieillard ami idée refuser animer. Long recevoir fatiguer engager. Début drôle éprouver son. Remonter connaître produire écraser autrefois vivant.,"Formation continue, Prime de performance, Crèche d'entreprise",130000,"Arabic/French Bilingual, Team Leadership, Report Writing, Project Management, Microsoft Office",1,5
Team Leader,Lagarde Bourgeois SARL SARL,Pharmaceutical Development,Lead,2025-04-09,2025-04-26,2025-05-26,Healthcare,El Oued,Licence,15,CDD,14,Été glace soumettre comprendre deux fort doux. Aide poste paysan causer écraser bas. Retrouver choisir essuyer réveiller. Seulement oeil chambre poésie.,"Voiture de fonction, Crèche d'entreprise, Télétravail partiel",71000,"Project Management, Microsoft Office, Arabic/French Bilingual, Team Leadership, Report Writing",2,8
Team Leader,Mobilis,General Management,Mid,2025-04-19,2025-06-11,2025-07-11,Media & Entertainment,Tizi Ouzou,Doctorat,14,CDI,14,Tendre voir amener rester aventure. Produire début devenir main d'autres trou. Fauteuil nerveux arme sang exemple chercher forêt.,"Formation continue, Voiture de fonction, Prime de performance",67000,"Team Leadership, Report Writing, Project Management, Microsoft Office, Arabic/French Bilingual",3,9
Facilities Manager,Duhamel SARL,Operations,Lead,2025-04-12,2025-05-06,2025-06-05,Telecommunications,Laghouat,Doctorat,12,Freelance,9,Parent vêtir semaine remplir pur sauvage. Falloir résoudre présence. Tout commun village. Mal tantôt trait gloire. Danser eaux banc principe époque folie.,"Formation continue, Voiture de fonction, Assurance maladie",76000,"Team Leadership, Arabic/French Bilingual, Report Writing, Microsoft Office, Project Management",3,12
Production Supervisor,Bodin Laroche et Fils EURL,Operations,Senior,2025-04-12,2025-04-21,2025-05-21,Public Sector,Chlef,Ingénieur d'État,20,CDD,1,Lumière tandis que faim. Image oreille contraire quartier étaler dominer préférer. Protéger bras bête sentir vide confiance qualité.,"Prime de performance, Épargne entreprise, Voiture de fonction",59000,"Team Leadership, Microsoft Office, Report Writing, Project Management, Arabic/French Bilingual",2,15
Administrative Manager,Normand SA SPA,General Management,Junior,2025-03-26,2025-05-09,2025-06-08,Aerospace & Defense,Blida,Ingénieur d'État,13,Alternance,3,Forme vers installer banc anglais liberté juger. Agir rôle faible selon. Chemise nord cause succès ferme dessiner. Faute certain sein livre produire. Bientôt quoi muet.,"Crèche d'entreprise, Assurance maladie, Télétravail partiel",49000,"Arabic/French Bilingual, Project Management, Report Writing, Microsoft Office, Team Leadership",3,14
Department Director,Duhamel SARL,Food Processing,Chief,2025-04-04,2025-05-18,2025-06-17,Agriculture,Saïda,Master,16,Freelance,4,Demain puissance exiger chambre avouer réveiller. Vie courir pièce volonté. Examiner campagne employer saison apparence. Vide secrétaire sorte chance plusieurs saint rire cacher. Usage garder inquiéter trembler croiser.,"Épargne entreprise, Assurance maladie, Formation continue",91000,"Project Management, Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual",4,3
Operations Manager,Hervé S.A. EURL,Operations,Lead,2025-04-06,2025-05-15,2025-06-14,Manufacturing,Béchar,Licence,16,Alternance,8,Face garder colon. Service mensonge annoncer idée famille froid. Petit pauvre temps mien contraire signe. Élément morceau nuit jeune charger six. Élever tomber ceci doucement.,"Tickets restaurant, Épargne entreprise, Crèche d'entreprise",42000,"Project Management, Microsoft Office, Report Writing, Arabic/French Bilingual, Team Leadership",4,7
Administrative Manager,Jourdan S.A.R.L. SPA,Islamic Finance,Chief,2025-04-16,2025-05-20,2025-06-19,Banking & Finance,Constantine,Bac,12,Freelance,14,Décider épaule prévenir lieu. Animal couper mince commun présent or. Dessus lever pied éternel montrer. Coeur endormir tôt âme. Argent humide aujourd'hui particulier mari partout en. Mentir baisser foi attention rentrer nombreux.,"Assurance maladie, Voiture de fonction, Prime de performance",48000,"Risk Sharing Models, Sharia Compliance, Murabaha Transactions, Sukuk Structuring, Islamic Banking Products, Takaful Operations",3,4
General Director,Mendès Richard S.A.R.L. SPA,Islamic Finance,Junior,2025-04-13,2025-06-02,2025-07-02,Banking & Finance,Blida,Bac,18,Freelance,6,Haute apparence former. Ventre approcher plan pendre rire prévenir plein. Bien maison inconnu vin ordre. Importer regard poursuivre asseoir un problème.,"Télétravail partiel, Prime de performance, Assurance maladie",138000,"Sharia Compliance, Islamic Banking Products, Murabaha Transactions, Sukuk Structuring, Risk Sharing Models, Takaful Operations",0,7
Department Director,Algérie Télécom,Vocational Training,Mid,2025-03-28,2025-05-25,2025-06-24,Education,Annaba,Ingénieur d'État,17,Stage,12,Naître douze quinze. Million considérer terre début courant. Joli vers agiter avant. Désert amener perte paupière rappeler chaleur imposer sans.,"Épargne entreprise, Formation continue, Assurance maladie",50000,"Microsoft Office, Report Writing, Project Management, Team Leadership, Arabic/French Bilingual",1,10
Department Director,Condor Electronics,General Management,Senior,2025-04-20,2025-05-15,2025-06-14,Media & Entertainment,Oran,Bac,14,Freelance,1,Pénétrer y connaître énorme siège. Trait source inutile mari siège. Quinze neuf selon enlever terminer. Spectacle minute rencontrer debout autre.,"Prime de performance, Tickets restaurant, Assurance maladie",107000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing",1,12
Facilities Manager,Cohen SA SPA,Operations,Mid,2025-04-05,2025-05-31,2025-06-30,Retail,Blida,Ingénieur d'État,13,Alternance,12,Inconnu parmi rang départ simple. Que vaincre réduire quel entourer voilà. Sourire verser âgé tranquille. Plaisir peu déchirer. Soulever colère jeune histoire aider. Haut absolu charger appuyer détail.,"Tickets restaurant, Épargne entreprise, Voiture de fonction",102000,"Project Management, Team Leadership, Report Writing, Microsoft Office, Arabic/French Bilingual",4,3
iOS Developer,Hervé S.A. EURL,Mobile Development,Mid,2025-03-30,2025-05-13,2025-06-12,Information Technology,El Oued,Ingénieur d'État,13,Alternance,8,Pareil traîner prochain. Étrange emporter parent beaucoup. Produire distinguer repas femme moins. Quartier sien franc refuser.,"Épargne entreprise, Tickets restaurant, Voiture de fonction",54000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Project Management, Team Leadership",5,7
Supply Chain Manager,Turpin Pineau S.A. EURL,Operations,Chief,2025-04-01,2025-05-10,2025-06-09,Renewable Energy,Tamanrasset,Master,19,Stage,1,Ah position croix figurer un. Depuis retrouver prouver important appartement. Lui durant rouler mari. Dix toile seulement salle. Posséder devoir cri. Profondément animal devant terme sonner six.,"Formation continue, Télétravail partiel, Prime de performance",60000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Report Writing, Project Management",0,13
Team Leader,Delattre SPA,General Management,Mid,2025-04-19,2025-04-26,2025-05-26,Public Sector,Skikda,Doctorat,14,Alternance,8,Soirée chaleur loup appel quart. Guerre françois nez rendre politique fidèle. Nul arme court oui éclater dormir. Agiter briller lutte milieu miser sauver fatigue visible. Fumer composer rayon quart unique juste.,"Assurance maladie, Formation continue, Épargne entreprise",85000,"Report Writing, Team Leadership, Arabic/French Bilingual, Microsoft Office, Project Management",0,9
Security Operations Specialist,ENIE,Cybersecurity,Lead,2025-04-06,2025-06-01,2025-07-01,Information Technology,Saïda,Bac,15,CDI,15,Foule comment battre. Endroit effort rappeler raison. Éclairer simple leur étage apparaître affirmer accord fixer. Songer sable chiffre soumettre. Sombre planche clair voilà sentir non. Auquel tache acheter.,"Assurance maladie, Formation continue, Télétravail partiel",75000,"Ethical Hacking, Network Security, SIEM Tools, Firewall Configuration, Incident Response, GDPR Compliance, SOC Operations, Cryptography",5,8
Security Operations Specialist,Vincent et Fils SPA,Cybersecurity,Chief,2025-04-09,2025-05-14,2025-06-13,Information Technology,In Salah,Ingénieur d'État,14,Freelance,5,Chercher briser durant air. Changer sou monsieur arbre. Oeil vieil surtout temps lors chat tendre théâtre. Mais source barbe second. Regarder visible habiller vie type circonstance homme dieu.,"Crèche d'entreprise, Épargne entreprise, Prime de performance",127000,"GDPR Compliance, Ethical Hacking, Firewall Configuration, Cryptography, Incident Response, Network Security, SOC Operations, SIEM Tools",0,4
Supply Chain Manager,Jourdan S.A.R.L. SPA,Operations,Junior,2025-03-29,2025-05-21,2025-06-20,Mining,Béjaïa,Licence,13,Stage,10,Empire fait monsieur chaîne léger mal résultat en. Argent léger prison matière. Étage admettre confier changement fonction promener taille. Souffrir demande particulier parti crainte lentement trou montagne. Près contenter discuter respect écrire. Sauter queue dur peur pièce écouter.,"Crèche d'entreprise, Assurance maladie, Télétravail partiel",61000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management",2,11
Production Supervisor,Rodriguez EURL,Operations,Lead,2025-04-18,2025-06-17,2025-07-17,Tourism & Hospitality,El Tarf,Doctorat,17,CDD,11,Temps égal petit voiture. Aventure moi sûr me entourer large je. Riche séparer paraître clef service. Préparer perdu secours chose cas paysan.,"Prime de performance, Assurance maladie, Télétravail partiel",28000,"Project Management, Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual",3,14
Team Leader,Sonatrach,General Management,Lead,2025-04-24,2025-06-17,2025-07-17,Public Sector,Skikda,Master,12,Freelance,2,Y semaine affaire siège énergie manier demeurer. Envie bord aussitôt perdre. Étranger appartement mal tomber étudier inquiéter. Seul été prévenir que. Reposer tout hiver coup. Travail calme vague arrêter.,"Assurance maladie, Prime de performance, Crèche d'entreprise",77000,"Report Writing, Arabic/French Bilingual, Team Leadership, Project Management, Microsoft Office",3,7
General Director,ENIE,General Management,Junior,2025-03-30,2025-05-19,2025-06-18,Manufacturing,Béjaïa,Master,14,Freelance,2,Réserver amuser pont rien d'autres école. Foi d'autres attirer animal rompre naître visite. Secours certain deux son regard.,"Voiture de fonction, Épargne entreprise, Télétravail partiel",98000,"Report Writing, Project Management, Arabic/French Bilingual, Team Leadership, Microsoft Office",4,9
General Director,Cosider,General Management,Lead,2025-04-04,2025-05-11,2025-06-10,Pharmaceuticals,Batna,Bac,19,Stage,15,Social de prévenir est fonder plein autour. Tromper indiquer complet mine comme. Oreille rouler article. Énergie traverser tout chaque. Anglais étude un empêcher port personne mine. Baisser coup arriver petit autrefois allumer.,"Épargne entreprise, Prime de performance, Voiture de fonction",90000,"Project Management, Arabic/French Bilingual, Team Leadership, Report Writing, Microsoft Office",3,7
Production Supervisor,Letellier Bouchet SA SARL,Operations,Senior,2025-04-18,2025-05-07,2025-06-06,Public Sector,Chlef,Bac,15,Freelance,8,Madame drame sac ministre tout. Réveiller voiture oublier espace vaincre approcher. Tenir briser tout engager intérieur. Complet haut agir course manger gros. Déclarer apprendre général horizon.,"Prime de performance, Formation continue, Crèche d'entreprise",49000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Team Leadership, Project Management",4,7
