job title,hiring organization,department,seniority level,date posted,valid through,sector,job location,education requirement,type of contract,available posts,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
Project Manager,Marchal S.A.S. SPA,General Management,Mid,2025-04-09,2025-07-03,Retail,Annaba,Ingénieur d'État,CDI,3,"Voiture de fonction, Assurance maladie, Télétravail partiel",146000,"Microsoft Office, Team Leadership, Project Management, Report Writing, Arabic/French Bilingual",1,15
Department Director,Garcia EURL,Research & Development,Lead,2025-04-13,2025-06-09,Education,Tizi Ouzou,Master,Alternance,1,"Tickets restaurant, Épargne entreprise, Voiture de fonction",33000,"Team Leadership, Project Management, Microsoft Office, Report Writing, Arabic/French Bilingual",3,6
Operations Manager,Seguin et Fils EURL,General Management,Senior,2025-04-07,2025-06-05,Media & Entertainment,Sétif,Master,Alternance,2,"Assurance maladie, Crèche d'entreprise, Prime de performance",138000,"Microsoft Office, Arabic/French Bilingual, Report Writing, Team Leadership, Project Management",2,12
Operations Manager,Barbier SPA,Operations,Senior,2025-04-19,2025-07-16,Mining,Djanet,Doctorat,Stage,14,"Assurance maladie, Voiture de fonction, Tickets restaurant",122000,"Report Writing, Microsoft Office, Team Leadership, Project Management, Arabic/French Bilingual",0,3
Quality Control Specialist,Gomez SARL,Refining & Processing,Junior,2025-04-06,2025-05-28,Energy & Petroleum,Annaba,Licence,CDD,11,"Épargne entreprise, Voiture de fonction, Prime de performance",57000,"Microsoft Office, Arabic/French Bilingual, Report Writing, Project Management, Team Leadership",4,12
Operations Manager,Guérin Dumas S.A. SPA,General Management,Mid,2025-03-27,2025-06-23,Telecommunications,Skikda,Doctorat,Alternance,7,"Tickets restaurant, Voiture de fonction, Télétravail partiel",80000,"Team Leadership, Arabic/French Bilingual, Microsoft Office, Project Management, Report Writing",3,11
Department Director,Maurice Hoareau et Fils SPA,General Management,Senior,2025-04-13,2025-06-08,Fisheries,Aïn Témouchent,Licence,CDD,6,"Crèche d'entreprise, Assurance maladie, Télétravail partiel",144000,"Report Writing, Project Management, Team Leadership, Microsoft Office, Arabic/French Bilingual",1,14
Logistics Coordinator,Bertrand Caron SA SPA,Operations,Lead,2025-04-08,2025-07-02,Telecommunications,Saïda,Master,Freelance,10,"Crèche d'entreprise, Télétravail partiel, Voiture de fonction",32000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",1,3
Supply Chain Manager,Olivier SPA,Operations,Chief,2025-04-16,2025-06-23,Mining,Sétif,Bac,Alternance,10,"Épargne entreprise, Tickets restaurant, Formation continue",38000,"Team Leadership, Project Management, Arabic/French Bilingual, Microsoft Office, Report Writing",3,9
DevOps Engineer,Mahe Boyer S.A.R.L. SARL,Software Development,Mid,2025-04-09,2025-06-21,Information Technology,Biskra,Ingénieur d'État,CDI,1,"Télétravail partiel, Épargne entreprise, Crèche d'entreprise",139000,"CI/CD Pipelines, Python, Java, Django, Git, Agile Methodology, REST APIs, Microservices",4,7
Facilities Manager,Maillard S.A. SPA,Operations,Lead,2025-03-30,2025-06-10,Transport & Logistics,Tiaret,Ingénieur d'État,Freelance,3,"Assurance maladie, Télétravail partiel, Tickets restaurant",102000,"Microsoft Office, Arabic/French Bilingual, Report Writing, Team Leadership, Project Management",1,4
Operations Manager,Schmitt SARL EURL,Operations,Senior,2025-03-30,2025-06-21,Construction,Algiers,Master,Freelance,6,"Crèche d'entreprise, Formation continue, Assurance maladie",81000,"Microsoft Office, Team Leadership, Project Management, Report Writing, Arabic/French Bilingual",2,15
Supply Chain Manager,Batimétal,Operations,Mid,2025-04-14,2025-05-24,Transport & Logistics,Tindouf,Bac,Alternance,11,"Voiture de fonction, Crèche d'entreprise, Télétravail partiel",65000,"Arabic/French Bilingual, Team Leadership, Project Management, Microsoft Office, Report Writing",5,10
Operations Manager,Loiseau et Fils EURL,Operations,Mid,2025-04-10,2025-06-21,Fisheries,Tamanrasset,Licence,Freelance,8,"Crèche d'entreprise, Tickets restaurant, Formation continue",135000,"Team Leadership, Report Writing, Microsoft Office, Project Management, Arabic/French Bilingual",5,8
Project Manager,Naftal,General Management,Junior,2025-04-22,2025-07-03,Pharmaceuticals,Algiers,Bac,Stage,7,"Formation continue, Assurance maladie, Crèche d'entreprise",92000,"Team Leadership, Microsoft Office, Report Writing, Project Management, Arabic/French Bilingual",5,12
Logistics Coordinator,Olivier SPA,Operations,Chief,2025-03-29,2025-06-04,Retail,Mostaganem,Bac,CDD,7,"Épargne entreprise, Télétravail partiel, Crèche d'entreprise",61000,"Team Leadership, Arabic/French Bilingual, Report Writing, Microsoft Office, Project Management",3,6
Operations Manager,Sanchez SARL EURL,General Management,Chief,2025-04-10,2025-06-14,Manufacturing,Adrar,Licence,CDD,10,"Épargne entreprise, Crèche d'entreprise, Télétravail partiel",134000,"Arabic/French Bilingual, Report Writing, Project Management, Microsoft Office, Team Leadership",1,14
Team Leader,Barbier SPA,Irrigation Technology,Junior,2025-04-19,2025-07-09,Agriculture,Ghardaïa,Ingénieur d'État,Stage,8,"Voiture de fonction, Prime de performance, Assurance maladie",112000,"Project Management, Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing",0,3
Logistics Coordinator,Algérie Télécom,Operations,Chief,2025-04-05,2025-06-19,Transport & Logistics,Tiaret,Licence,CDI,11,"Formation continue, Crèche d'entreprise, Tickets restaurant",25000,"Microsoft Office, Arabic/French Bilingual, Report Writing, Project Management, Team Leadership",5,4
Data Scientist,Buisson SPA,Data Science & AI,Mid,2025-03-30,2025-06-17,Information Technology,Tizi Ouzou,Doctorat,Alternance,11,"Formation continue, Voiture de fonction, Épargne entreprise",59000,"Microsoft Office, Report Writing, Project Management, Team Leadership, Arabic/French Bilingual",1,10
Logistics Coordinator,Blanchard SPA,Operations,Lead,2025-03-31,2025-06-21,Manufacturing,M'sila,Bac,CDD,10,"Prime de performance, Formation continue, Assurance maladie",101000,"Project Management, Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual",4,10
Supply Chain Manager,Besnard SARL SPA,Operations,Junior,2025-04-20,2025-07-15,Telecommunications,Naama,Licence,CDI,5,"Épargne entreprise, Assurance maladie, Prime de performance",30000,"Project Management, Team Leadership, Arabic/French Bilingual, Report Writing, Microsoft Office",2,9
Operations Manager,Duhamel S.A.R.L. SPA,Operations,Lead,2025-04-09,2025-06-15,Pharmaceuticals,Tiaret,Ingénieur d'État,Alternance,5,"Télétravail partiel, Formation continue, Épargne entreprise",30000,"Report Writing, Team Leadership, Project Management, Microsoft Office, Arabic/French Bilingual",0,14
Department Director,Bigot Henry SARL EURL,Investment Management,Lead,2025-04-16,2025-06-02,Banking & Finance,Mostaganem,Bac,Alternance,1,"Prime de performance, Assurance maladie, Épargne entreprise",114000,"Arabic/French Bilingual, Team Leadership, Project Management, Report Writing, Microsoft Office",3,7
Project Manager,Pereira SARL,General Management,Chief,2025-04-01,2025-06-24,Media & Entertainment,Laghouat,Doctorat,CDI,13,"Télétravail partiel, Tickets restaurant, Crèche d'entreprise",36000,"Report Writing, Team Leadership, Microsoft Office, Project Management, Arabic/French Bilingual",2,10
Facilities Manager,Lefèvre Couturier S.A.R.L. EURL,Operations,Mid,2025-03-31,2025-05-25,Renewable Energy,Algiers,Master,Freelance,4,"Épargne entreprise, Prime de performance, Télétravail partiel",109000,"Microsoft Office, Project Management, Team Leadership, Arabic/French Bilingual, Report Writing",2,12
Operations Manager,Delmas S.A. EURL,Higher Education,Junior,2025-04-15,2025-07-08,Education,Tlemcen,Doctorat,Freelance,15,"Épargne entreprise, Prime de performance, Tickets restaurant",83000,"Project Management, Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual",4,10
Operations Manager,Bernard Petitjean SA SPA,Operations,Lead,2025-04-13,2025-05-30,Renewable Energy,Illizi,Bac,Stage,12,"Voiture de fonction, Crèche d'entreprise, Formation continue",99000,"Report Writing, Project Management, Team Leadership, Arabic/French Bilingual, Microsoft Office",5,6
Facilities Manager,Boutin S.A. SARL,Operations,Junior,2025-03-28,2025-05-30,E-Commerce,Jijel,Doctorat,Stage,6,"Assurance maladie, Voiture de fonction, Télétravail partiel",129000,"Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership",0,6
Supply Chain Manager,Cosider,Operations,Mid,2025-04-07,2025-06-18,Manufacturing,Ouargla,Ingénieur d'État,CDD,8,"Voiture de fonction, Assurance maladie, Épargne entreprise",47000,"Project Management, Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual",3,8
Technical Support Engineer,Condor Electronics,IT Support,Chief,2025-03-28,2025-06-17,Information Technology,Aïn Témouchent,Doctorat,CDI,7,"Télétravail partiel, Voiture de fonction, Tickets restaurant",133000,"Microsoft Office, Project Management, Arabic/French Bilingual, Team Leadership, Report Writing",2,9
Supply Chain Manager,Sofiane Pharma,Operations,Senior,2025-03-26,2025-05-06,Pharmaceuticals,M'sila,Doctorat,CDI,8,"Assurance maladie, Crèche d'entreprise, Prime de performance",121000,"Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing, Project Management",0,7
Supply Chain Manager,Camus S.A.R.L. SARL,Operations,Junior,2025-04-17,2025-06-02,Pharmaceuticals,Ouargla,Bac,CDI,2,"Crèche d'entreprise, Assurance maladie, Télétravail partiel",47000,"Arabic/French Bilingual, Microsoft Office, Team Leadership, Project Management, Report Writing",5,3
Operations Manager,Cevital Agro-Industry,Sustainable Farming,Chief,2025-03-31,2025-05-10,Agriculture,Sétif,Licence,CDD,12,"Épargne entreprise, Voiture de fonction, Télétravail partiel",118000,"Soil Health Management, Water Conservation, Agroecology, Permaculture Design, Precision Agriculture, Organic Certification",4,13
Administrative Manager,Ollivier Becker S.A.R.L. SPA,General Management,Mid,2025-04-22,2025-05-31,Construction,El Tarf,Doctorat,Alternance,11,"Voiture de fonction, Prime de performance, Télétravail partiel",82000,"Project Management, Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing",5,8
Operations Manager,Delmas et Fils EURL,Medical Equipment Maintenance,Junior,2025-03-27,2025-05-04,Healthcare,Skikda,Doctorat,Alternance,11,"Crèche d'entreprise, Tickets restaurant, Formation continue",26000,"Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual, Project Management",0,12
Team Leader,Pereira SARL,General Management,Mid,2025-04-21,2025-07-13,Transport & Logistics,Batna,Licence,Stage,1,"Assurance maladie, Télétravail partiel, Voiture de fonction",86000,"Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership, Report Writing",5,11
Team Leader,Condor Electronics,General Management,Lead,2025-04-02,2025-06-12,Telecommunications,El Oued,Ingénieur d'État,Alternance,14,"Assurance maladie, Crèche d'entreprise, Voiture de fonction",51000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership",0,11
Operations Manager,Ruiz SARL,General Management,Senior,2025-04-07,2025-05-23,Retail,Blida,Master,Freelance,10,"Épargne entreprise, Assurance maladie, Prime de performance",41000,"Team Leadership, Microsoft Office, Report Writing, Project Management, Arabic/French Bilingual",1,10
General Director,Algérie Télécom,Pharmaceutical Development,Lead,2025-04-09,2025-06-13,Healthcare,Jijel,Ingénieur d'État,CDD,10,"Tickets restaurant, Prime de performance, Crèche d'entreprise",90000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing",2,14
Mobile UX Designer,Delmas S.A. EURL,Mobile Development,Chief,2025-04-05,2025-06-04,Information Technology,Djanet,Doctorat,Stage,1,"Crèche d'entreprise, Télétravail partiel, Tickets restaurant",146000,"Arabic/French Bilingual, Report Writing, Microsoft Office, Project Management, Team Leadership",3,11
Department Director,Besnard SARL SPA,Pharmaceutical Development,Mid,2025-04-02,2025-05-13,Healthcare,Mostaganem,Ingénieur d'État,Stage,8,"Télétravail partiel, Épargne entreprise, Prime de performance",33000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Report Writing, Project Management",2,15
Production Engineer,Lefèvre Couturier S.A.R.L. EURL,Exploration & Production,Senior,2025-04-10,2025-06-29,Energy & Petroleum,El Tarf,Bac,Alternance,3,"Tickets restaurant, Télétravail partiel, Crèche d'entreprise",141000,"Drilling Optimization, Well Logging, HYSYS, Reservoir Simulation, Enhanced Oil Recovery, Petrel Software, Geological Modeling",5,7
Administrative Manager,Bernard Petitjean SA SPA,General Management,Lead,2025-04-19,2025-07-17,Fisheries,Timimoun,Doctorat,Freelance,13,"Crèche d'entreprise, Épargne entreprise, Télétravail partiel",97000,"Team Leadership, Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office",1,4
Production Supervisor,Air Algérie,Operations,Mid,2025-03-27,2025-06-05,Transport & Logistics,Adrar,Licence,Stage,9,"Tickets restaurant, Voiture de fonction, Télétravail partiel",67000,"Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing, Project Management",2,9
Team Leader,Bernard Petitjean SA SPA,General Management,Mid,2025-03-26,2025-06-08,Fisheries,Béjaïa,Doctorat,CDI,10,"Formation continue, Assurance maladie, Épargne entreprise",77000,"Team Leadership, Report Writing, Project Management, Microsoft Office, Arabic/French Bilingual",1,13
Drilling Supervisor,Rodrigues EURL,Drilling Operations,Junior,2025-04-12,2025-06-08,Energy & Petroleum,Skikda,Bac,CDI,5,"Crèche d'entreprise, Tickets restaurant, Assurance maladie",99000,"Project Management, Team Leadership, Microsoft Office, Arabic/French Bilingual, Report Writing",4,12
General Director,Sonalgaz,Retail Banking,Mid,2025-04-04,2025-05-23,Banking & Finance,Aïn Témouchent,Master,Freelance,14,"Tickets restaurant, Télétravail partiel, Formation continue",133000,"Arabic/French Bilingual, Team Leadership, Microsoft Office, Project Management, Report Writing",1,12
Supply Chain Manager,Buisson SPA,Operations,Senior,2025-04-08,2025-06-29,Fisheries,El Tarf,Licence,Freelance,5,"Télétravail partiel, Voiture de fonction, Crèche d'entreprise",115000,"Microsoft Office, Project Management, Arabic/French Bilingual, Report Writing, Team Leadership",1,14
General Director,Sauvage SARL,General Management,Lead,2025-04-13,2025-07-11,Renewable Energy,Tamanrasset,Ingénieur d'État,Stage,4,"Tickets restaurant, Crèche d'entreprise, Télétravail partiel",74000,"Report Writing, Project Management, Microsoft Office, Team Leadership, Arabic/French Bilingual",3,9
Data Analyst,Schmitt SARL EURL,Data Science & AI,Lead,2025-04-06,2025-05-17,Information Technology,Algiers,Licence,CDI,8,"Prime de performance, Tickets restaurant, Formation continue",132000,"Team Leadership, Project Management, Microsoft Office, Arabic/French Bilingual, Report Writing",1,4
Operations Manager,Mendès EURL,Operations,Junior,2025-04-02,2025-05-09,Transport & Logistics,Saïda,Licence,Freelance,5,"Prime de performance, Crèche d'entreprise, Formation continue",111000,"Microsoft Office, Project Management, Team Leadership, Arabic/French Bilingual, Report Writing",0,6
Supply Chain Manager,Duhamel S.A.R.L. SPA,Operations,Junior,2025-04-15,2025-06-10,Retail,Blida,Licence,Alternance,15,"Formation continue, Crèche d'entreprise, Tickets restaurant",94000,"Microsoft Office, Project Management, Report Writing, Arabic/French Bilingual, Team Leadership",2,5
